Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
1,Justin Abdelkader\abdelju01,30,DET,LW,74,871,895,49.3,0.7,665,679,49.5,0.0,8.1,90.6,98.7,50.1,49.9,16:36,12:49,21,33,-4.9,197,54.3
2,Pontus Aberg\abergpo01,24,TOT,LW,53,524,610,46.2,-4.0,406,458,47.0,-3.6,9.9,94.2,104.1,56.9,43.1,12:10,11:48,12,20,-1.9,125,56.0
3,Noel Acciari\acciano01,26,BOS,C,58,561,616,47.7,-6.8,431,432,49.9,-4.3,5.4,92.2,97.5,32.0,68.0,12:52,11:24,18,9,1.1,111,58.6
4,Kenny Agostino\agostke01,25,BOS,LW,5,34,48,41.5,-8.5,28,33,45.9,-4.1,4.8,92.0,96.8,37.5,62.5,12:03,8:59,1,0,-0.4,17,64.7
5,Sebastian Aho\ahose01,20,CAR,RW,77,1239,1005,55.2,0.8,909,790,53.5,-0.1,9.5,90.1,99.6,56.8,43.2,17:54,15:12,58,53,4.9,382,51.3
6,Sebastian Aho\ahose02,21,NYI,D,22,298,334,47.2,2.2,222,268,45.3,1.0,9.2,89.9,99.2,43.4,56.6,15:31,14:26,3,12,-3.6,50,44.0
7,Mark Alt\altma01,26,TOT,D,14,158,160,49.7,-0.8,112,112,50.0,0.6,3.7,95.3,99.1,56.0,44.0,12:46,12:03,3,4,-0.7,27,37.0
8,Karl Alzner\alzneka01,29,MTL,D,81,1304,1323,49.6,-1.1,926,964,49.0,-1.8,7.3,91.6,98.8,46.3,53.7,20:07,17:04,22,89,-3.9,186,44.6
9,Michael Amadio\amadimi01,21,LAK,C,36,253,282,47.3,-2.4,192,207,48.1,-1.4,4.9,94.8,99.7,67.7,32.3,9:18,8:28,11,6,0.7,56,50.0
10,Josh Anderson\anderjo05,23,CBJ,RW,62,1060,923,53.5,3.2,811,677,54.5,3.1,6.9,91.5,98.4,58.9,41.1,18:05,15:44,40,18,0.4,315,59.0
11,Lias Andersson\anderli01,19,NYR,C,6,55,84,39.6,-6.0,39,71,35.5,-9.8,13.8,94.3,108.1,45.5,54.5,11:23,10:57,4,0,-3.3,8,37.5
12,Rasmus Andersson\anderra01,21,CGY,D,9,131,102,56.2,1.7,107,84,56.0,-1.0,4.2,90.9,95.1,59.7,40.3,14:53,12:41,0,3,1.2,18,38.9
13,Andy Andreoff\andrean01,26,LAK,LW,45,349,417,45.6,-4.4,259,313,45.3,-4.3,6.1,92.7,98.8,54.7,45.3,9:23,9:21,3,7,-4.3,83,56.6
14,Sven Andrighetto\andrisv01,24,COL,RW,49,559,564,49.8,2.8,386,440,46.7,-0.3,7.8,89.1,96.9,50.5,49.5,14:32,11:54,21,15,-5.9,193,56.5
15,Artem Anisimov\anisiar01,29,CHI,C,70,912,912,50.0,-3.4,643,694,48.1,-4.1,7.0,91.5,98.5,53.1,46.9,16:49,12:36,18,26,-6.9,224,57.6
16,Victor Antipin\antipvi01,25,BUF,D,47,552,587,48.5,0.6,402,445,47.5,-0.7,6.3,92.1,98.4,55.2,44.8,15:17,14:07,4,13,-2.9,79,50.6
17,Darren Archibald\archida02,27,VAN,RW,26,244,325,42.9,-6.9,183,237,43.6,-6.8,6.5,93.1,99.6,19.5,80.5,14:50,11:55,5,1,-6.0,52,50.0
18,Josh Archibald\archijo01,25,TOT,RW,41,393,443,47.0,-1.9,276,332,45.4,-1.9,8.5,92.2,100.7,46.2,53.8,12:01,10:57,7,4,-4.6,85,49.4
19,Joel Armia\armiajo01,24,WPG,RW,78,738,694,51.5,0.4,544,508,51.7,0.2,8.3,92.2,100.5,40.3,59.7,12:35,9:57,46,16,2.3,218,58.3
20,Viktor Arvidsson\arvidvi01,24,NSH,LW,78,1158,1107,51.1,-0.1,860,843,50.5,-1.0,10.9,92.3,103.2,55.0,45.0,17:45,13:55,31,35,-10.2,425,58.1
21,Zach Aston-Reese\astonza01,23,PIT,C,15,142,136,51.1,-0.9,103,102,50.2,-1.1,8.9,93.6,102.5,41.2,58.8,11:11,9:56,3,4,-0.6,32,65.6
22,Andreas Athanasiou\athanan01,23,DET,LW,70,862,896,49.0,0.7,643,694,48.1,-1.6,8.0,89.8,97.8,53.2,46.8,15:18,13:10,37,36,-3.2,310,51.9
23,Cam Atkinson\atkinca01,28,CBJ,RW,65,1007,927,52.1,0.5,764,688,52.6,-0.1,10.1,93.0,103.1,53.6,46.4,18:54,14:42,31,19,4.3,380,60.8
24,Justin Auger\augerju01,23,LAK,RW,2,10,21,32.3,-20.5,9,15,37.5,-16.6,0.0,90.9,90.9,50.0,50.0,7:60,7:60,0,0,-0.8,3,33.3
25,Yohann Auvitu\auvityo01,28,EDM,D,33,456,419,52.1,-0.9,346,311,52.7,-1.1,10.6,91.4,102.0,60.8,39.2,13:33,13:04,8,17,1.0,128,53.9
26,David Backes\backeda01,33,BOS,RW,55,766,613,55.5,2.8,582,443,56.8,4.4,7.7,90.2,97.9,47.3,52.7,15:22,13:07,31,20,7.2,230,66.1
27,Mikael Backlund\backlmi01,28,CGY,C,81,1352,1048,56.3,4.2,1024,823,55.4,3.4,6.2,88.2,94.4,46.5,53.5,19:03,14:30,77,47,4.1,367,57.5
28,Nicklas Backstrom\backsni02,30,WSH,C,80,1222,1181,50.9,4.2,905,911,49.8,3.7,9.5,92.3,101.7,51.1,48.9,19:40,15:13,43,57,-1.9,276,58.7
29,Sven Baertschi\baertsv01,25,VAN,LW,53,631,711,47.0,-0.6,461,529,46.6,-0.5,10.3,92.0,102.3,54.3,45.7,15:36,13:33,19,17,-7.8,144,57.6
30,Josh Bailey\bailejo01,28,NYI,RW,75,1043,1193,46.6,-1.4,756,925,45.0,-2.8,10.2,89.7,99.9,50.9,49.1,17:51,14:26,45,62,-13.8,263,56.7
31,Justin Bailey\baileju01,22,BUF,RW,12,95,122,43.8,-8.6,70,99,41.4,-10.2,9.6,90.5,100.2,59.4,40.6,11:17,10:13,4,2,-0.7,30,63.3
32,Chase Balisy\balisch01,25,FLA,C,8,59,57,50.9,2.9,46,41,52.9,3.7,0.0,93.1,93.1,53.3,46.7,9:49,8:18,5,2,-0.5,13,46.2
33,Nicholas Baptiste\baptini01,22,BUF,RW,31,226,264,46.1,-1.8,171,196,46.6,-1.4,5.6,92.9,98.5,51.7,48.3,9:58,9:04,3,8,-3.8,66,65.2
